nome,preco,loja_nome ,img_link
Cpu Completa Core 2 Duo / 4gb / Hd 250 / Monitor 17,829.99,,https://http2.mlstatic.com/core-duo-250-D_NQ_NP_651225-MLB25933608590_082017-F.jpg
Cpu Gamer Intel/ Core I5 / 8gb / 500gb / Gtx 1050 / Fortnite,2690.0,,"https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-500gb-gtx-1050-fortnite-D_NQ_NP_858497-MLB29035446517_122018-F.jpg,https://http2.mlstatic.com/intel-core-500gb-D_NQ_NP_697129-MLB28483523792_102018-F.jpg,https://http2.mlstatic.com/core-500gb-intel-D_NQ_NP_682006-MLB29035401479_122018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-500gb-gtx-1050-fortnite-D_NQ_NP_833360-MLB29035398489_122018-F.jpg,https://http2.mlstatic.com/intel-core-500gb-D_NQ_NP_745964-MLB28483523793_102018-F.jpg,https://http2.mlstatic.com/core-500gb-intel-D_NQ_NP_980045-MLB28483481466_102018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-500gb-gtx-1050-fortnite-D_NQ_NP_979182-MLB28483540645_102018-F.jpg,https://http2.mlstatic.com/intel-core-500gb-D_NQ_NP_638707-MLB28483480472_102018-F.jpg"
Cpu Gamer Intel/ Core I5/ 8gb/ 1tb/gtx 1050ti 4gb Roda Tudo,2859.0,,"https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_970898-MLB28075055402_092018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_861131-MLB28301321005_102018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_834197-MLB27288961505_052018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_793647-MLB28301307598_102018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_856880-MLB28698804235_112018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_774147-MLB28075322658_092018-F.jpg,https://http2.mlstatic.com/cpu-gamer-intel-core-i5-8gb-1tbgtx-1050ti-4gb-roda-tudo-D_NQ_NP_713212-MLB28063065993_082018-F.jpg"
Computador Gamer I5 8gb 500gb Placa De Video 2gb Garantia,1599.0,,"https://http2.mlstatic.com/computador-gamer-i5-8gb-500gb-placa-de-video-2gb-garantia-D_NQ_NP_481001-MLB20265134847_032015-F.jpg,https://http2.mlstatic.com/computador-gamer-i5-8gb-500gb-placa-de-video-2gb-garantia-D_NQ_NP_399301-MLB20319662441_062015-F.jpg,https://http2.mlstatic.com/computador-gamer-i5-8gb-500gb-placa-de-video-2gb-garantia-D_NQ_NP_800001-MLB20255603116_032015-F.jpg,https://http2.mlstatic.com/computador-gamer-i5-8gb-500gb-placa-de-video-2gb-garantia-D_NQ_NP_686001-MLB20255602724_032015-F.jpg"
Computador Dell Inspiron Ins-3470-m20f I3 4gb 1tb W10+office,2369.0,,"https://http2.mlstatic.com/computador-dell-inspiron-ins-3470-m20f-i3-4gb-1tb-w10-office-D_NQ_NP_903488-MLB27543735342_062018-F.jpg,https://http2.mlstatic.com/computador-dell-1tb-D_NQ_NP_858359-MLB27543733888_062018-F.jpg,https://http2.mlstatic.com/dell-1tb-computador-D_NQ_NP_789935-MLB27543755087_062018-F.jpg,https://http2.mlstatic.com/computador-dell-inspiron-ins-3470-m20f-i3-4gb-1tb-w10-office-D_NQ_NP_800808-MLB27543758061_062018-F.jpg"
Pc Cpu Intel Core I5 + 500 Hd + 4gb Limpa Estoque.,1029.0,,"https://http2.mlstatic.com/pc-cpu-intel-core-i5-500-hd-4gb-limpa-estoque-D_NQ_NP_847500-MLB28987758201_122018-F.jpg,https://http2.mlstatic.com/intel-core-500-D_NQ_NP_817746-MLB28987744872_122018-F.jpg"
Pc Cpu Intel Core I5 3ªg+8gb+hd 1tb!,1649.99,,"https://http2.mlstatic.com/pc-cpu-intel-core-i5-3g-8gb-hd-1tb-D_NQ_NP_788695-MLB27871072464_072018-F.jpg,https://http2.mlstatic.com/intel-core-1tb-D_NQ_NP_629411-MLB27872315438_072018-F.jpg,https://http2.mlstatic.com/core-1tb-intel-D_NQ_NP_751276-MLB28759967162_112018-F.jpg,https://http2.mlstatic.com/pc-cpu-intel-core-i5-3g-8gb-hd-1tb-D_NQ_NP_914344-MLB28303450710_102018-F.jpg,https://http2.mlstatic.com/intel-core-1tb-D_NQ_NP_803232-MLB25869461761_082017-F.jpg"
Cpu Pc Intel® Core I5 3° Geração 8gb Ddr3 Ssd 240gb Jogos,1649.99,,"https://http2.mlstatic.com/cpu-pc-intel-core-i5-3-geraco-8gb-ddr3-ssd-240gb-jogos-D_NQ_NP_547505-MLB25027083931_082016-F.jpg,https://http2.mlstatic.com/cpu-pc-intel-core-i5-3-geraco-8gb-ddr3-ssd-240gb-jogos-D_NQ_NP_453505-MLB25027083934_082016-F.jpg"
Pc Cpu Computador Intel Core I5 + Ssd240 + 8gb,1389.0,,"https://http2.mlstatic.com/pc-cpu-computador-intel-core-i5-ssd240-8gb-D_NQ_NP_665315-MLB25223484143_122016-F.jpg,https://http2.mlstatic.com/computador-intel-core-D_NQ_NP_630441-MLB26027274232_092017-F.jpg,https://http2.mlstatic.com/intel-core-computador-D_NQ_NP_681845-MLB26073424137_092017-F.jpg,https://http2.mlstatic.com/pc-cpu-computador-intel-core-i5-ssd240-8gb-D_NQ_NP_832228-MLB26193485090_102017-F.jpg,https://http2.mlstatic.com/computador-intel-core-D_NQ_NP_987573-MLB27137535191_042018-F.jpg"
Computador C2d 4gb Hd 500gb Monitor Lcd 19'' Teclado Mouse,1239.99,,"https://http2.mlstatic.com/computador-c2d-4gb-hd-500gb-monitor-lcd-19-teclado-mouse-D_NQ_NP_21287-MLB20206034388_122014-F.jpg,https://http2.mlstatic.com/computador-c2d-4gb-hd-500gb-monitor-lcd-19-teclado-mouse-D_NQ_NP_21273-MLB20206034391_122014-F.jpg,https://http2.mlstatic.com/computador-c2d-4gb-hd-500gb-monitor-lcd-19-teclado-mouse-D_NQ_NP_21239-MLB20206031326_122014-F.jpg"
