nome,preco,loja_nome ,img_link
Óleo De Coco Extra Virgem 500ml Copra Original + Brinde!!,30.99,,"https://http2.mlstatic.com/oleo-de-coco-extra-virgem-500ml-copra-original-brinde-D_NQ_NP_950843-MLB27075596039_032018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-extra-virgem-500ml-copra-original-brinde-D_NQ_NP_652188-MLB27687557318_072018-F.jpg,https://http2.mlstatic.com/oleo-de-coco-extra-virgem-500ml-copra-original-brinde-D_NQ_NP_920668-MLB26125053885_102017-F.jpg,https://http2.mlstatic.com/oleo-de-coco-extra-virgem-500ml-copra-original-brinde-D_NQ_NP_21937-MLB20221773353_012015-F.jpg,https://http2.mlstatic.com/oleo-de-coco-extra-virgem-500ml-copra-original-brinde-D_NQ_NP_729733-MLB26154455090_102017-F.jpg"
Hemovital Polivitaminico Multivitaminico A Z 120 Caps Lauton,26.99,,"https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_787977-MLB25931929419_082017-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_876585-MLB27895595723_082018-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_694122-MLB27895586802_082018-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_922993-MLB27895603666_082018-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_767893-MLB27895586292_082018-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_855233-MLB27895602188_082018-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_851617-MLB27895577838_082018-F.jpg,https://http2.mlstatic.com/hemovital-polivitaminico-multivitaminico-a-z-120-caps-lauton-D_NQ_NP_764323-MLB27897871111_082018-F.jpg"
Diet Way Shake Substituto De Refeição 420 G - Midway,7.99,,"https://http2.mlstatic.com/diet-way-shake-substituto-de-refeico-420-g-midway-D_NQ_NP_941951-MLB29042944678_122018-F.jpg,https://http2.mlstatic.com/diet-way-shake-substituto-de-refeico-420-g-midway-D_NQ_NP_744579-MLB29042944685_122018-F.jpg"
Somarizanol Military Trail 30 Cáps - Midway,26.99,,"https://http2.mlstatic.com/somarizanol-military-trail-30-caps-midway-D_NQ_NP_663962-MLB29046379321_122018-F.jpg,https://http2.mlstatic.com/somarizanol-military-trail-30-caps-midway-D_NQ_NP_636897-MLB29046379322_122018-F.jpg,https://http2.mlstatic.com/somarizanol-military-trail-30-caps-midway-D_NQ_NP_860919-MLB29046379320_122018-F.jpg"
Redway 3d Pré Treino Usa 300g - Midway,19.99,,"https://http2.mlstatic.com/redway-3d-pre-treino-usa-300g-midway-D_NQ_NP_865574-MLB29046752361_122018-F.jpg,https://http2.mlstatic.com/pre-treino-midway-D_NQ_NP_769731-MLB29046752362_122018-F.jpg"
Whey 3w 900g  Probiótica Concentrada + Isolada + Hidrolisada,79.9,,"https://http2.mlstatic.com/whey-3w-900g-probiotica-concentrada-isolada-hidrolisada-D_NQ_NP_965498-MLB28605955368_112018-F.jpg,https://http2.mlstatic.com/whey-3w-900g-probiotica-concentrada-isolada-hidrolisada-D_NQ_NP_642926-MLB28585194024_112018-F.jpg"
100% Whey Isolado 2kg - Brn Foods,152.98,,"https://http2.mlstatic.com/100-whey-isolado-2kg-brn-foods-D_NQ_NP_855815-MLB26628609372_012018-F.jpg,https://http2.mlstatic.com/100-whey-isolado-2kg-brn-foods-D_NQ_NP_743900-MLB26628621545_012018-F.jpg,https://http2.mlstatic.com/100-whey-isolado-2kg-brn-foods-D_NQ_NP_942165-MLB27866310897_072018-F.jpg,https://http2.mlstatic.com/100-whey-isolado-2kg-brn-foods-D_NQ_NP_709317-MLB26628644640_012018-F.jpg,https://http2.mlstatic.com/100-whey-isolado-2kg-brn-foods-D_NQ_NP_902583-MLB27599687054_062018-F.jpg,https://http2.mlstatic.com/100-whey-isolado-2kg-brn-foods-D_NQ_NP_681430-MLB27599809256_062018-F.jpg"
"True Mass Hipercalórico 2,64kg - Bsn Importada",199.9,,https://http2.mlstatic.com/true-mass-hipercalorico-264kg-bsn-importada-D_NQ_NP_816986-MLB28140424609_092018-F.jpg
4 Whey Protein Isolada 3w 907g Force Up  Imperdivel,114.9,,"https://http2.mlstatic.com/4-whey-protein-isolada-3w-907g-force-up-imperdivel-D_NQ_NP_753657-MLB28988248089_122018-F.jpg,https://http2.mlstatic.com/4-whey-protein-isolada-3w-907g-force-up-imperdivel-D_NQ_NP_660376-MLB28988256504_122018-F.jpg,https://http2.mlstatic.com/4-whey-protein-isolada-3w-907g-force-up-imperdivel-D_NQ_NP_951013-MLB28988245194_122018-F.jpg,https://http2.mlstatic.com/4-whey-protein-isolada-3w-907g-force-up-imperdivel-D_NQ_NP_792087-MLB28988235856_122018-F.jpg,https://http2.mlstatic.com/4-whey-protein-isolada-3w-907g-force-up-imperdivel-D_NQ_NP_643409-MLB28988245725_122018-F.jpg,https://http2.mlstatic.com/4-whey-protein-isolada-3w-907g-force-up-imperdivel-D_NQ_NP_840975-MLB28318522133_102018-F.jpg"
Chá Desinchá 60 Sachês ( Atenção Original ) + Copo Grátis,86.0,,"https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_891663-MLB29028383047_122018-F.jpg,https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_913484-MLB27671919943_072018-F.jpg,https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_792643-MLB27667276672_072018-F.jpg,https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_608571-MLB27667276673_072018-F.jpg,https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_685936-MLB27667057916_072018-F.jpg,https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_997319-MLB27650438156_062018-F.jpg,https://http2.mlstatic.com/cha-desincha-60-sachs-atenco-original-copo-gratis-D_NQ_NP_752372-MLB27650438157_062018-F.jpg"
